ID	Text	Labels
facebook_corpus_msr_401470	Mahmood Ghaznavi Aor ABdali ko bhol gaya ha tu 😂 1 hazar saal tjhy ghulam bana kr rkha tha bhol gaya tu	(OAG,NGEN,NCOM)
facebook_corpus_msr_386695	Bhai 60sal pehle desh me kya tha pehle pta kro desh waise ka waise kaise hai	(OAG,GEN,NCOM)
facebook_corpus_msr_373389	chutiya friday ko isliye releae krte kyoki week end ke 3 din milte h to log free hokr film dekh sake..!! hd h yrr chutiyapa ki	(OAG,GEN,NCOM)
facebook_corpus_msr_917635	जय मोदीराज	(OAG,NGEN,COM)
facebook_corpus_msr_382517	UPA walo ne bahot kuch kr diya tha desh k liye	(OAG,NGEN,NCOM)
facebook_corpus_msr_403274	Pan ko Aadhar se link ki zarurat kuy hai? Supreme Court ne ye bola hi nahi	(NAG,NGEN,NCOM)
facebook_corpus_msr_1723083	"काकर पाथर जोड़ के मस्जिद लई बनाय।

ता चढ़ि मुल्ला बांघ दे , क्या बहरा हुआ खुदाय। 

यह मैं नहीं कबीर ने कहा था।"	(OAG,NGEN,COM)
facebook_corpus_msr_325257	"Us raat tere papa k jageh mera sperm gya tha use of technology 
Aur tere papa ko pta v na chala 😂😂😂
Chutiya"	(NAG,NGEN,NCOM)
facebook_corpus_msr_23447	गटर के कीड़े	(NAG,NGEN,NCOM)
facebook_corpus_msr_1477104	Waise bandhu jet lag se bachne ke liye Raat ko 10 baje ke baad so jao	(CAG,GEN,NCOM)
facebook_corpus_msr_342560	"get your love back +91-(9815215009) and #all_problems_solution_with_in_72_hours one call change life 
समस्या चाहे कैसी भी हो जड़ से खत्म।
बड़ी से बड़ी समस्या का समाधान।101%
अपने मन चाहे प्यार को पाना, काम कारोबार, किया कराया, सोतन से छुटकारा, पति - पत्नी में अनबन, +91-(9815215009)"	(NAG,GEN,NCOM)
facebook_corpus_msr_1432952	विदिशा से बीजेपी की सुषमा स्वराज आगे	(OAG,GEN,NCOM)
facebook_corpus_msr_1561781	Bhaii tume lagta bjp ne kia h ye to fir aao politics me sudharo society.....	(NAG,NGEN,COM)
facebook_corpus_msr_402955	Es kutte ko jail me daal do .Desh drohi hai	(NAG,NGEN,NCOM)
facebook_corpus_msr_1034376	सीनाजोरी	(CAG,NGEN,NCOM)
facebook_corpus_msr_386796	"Haan sahi kaha 
Jab pm ko jutey padh saktey wo bhi 56 inch ko 
To congress neta kis kheht ki muli hai"	(OAG,NGEN,COM)
facebook_corpus_msr_397419	#arwin khwabon se bahar niklo aur dekho Kashmir India ka tha, h, aur rhega. And vase bhi Kashmir m hum kaafiron k bahut sare religious places h Jo uski beauty ko chaar chand lgate h tum terrorist ka toh sirf terrorism h jo uski beauty ko brbaad kr rha h. Tum log jisko Jo kuch kehte ho usse janane m hume koi interest nhi h isliye faltu m bako mt k hum isko ye kehte h hum usko woh kehte h vagarah vagarah.	(OAG,GEN,NCOM)
facebook_corpus_msr_1155462	श्री श्री जिनके  लिए पूरी सरकार ने दिल्ली मे यमुना भी बरबाद होने दी सारी सुविधा दी उनसे मिलने से देशविरोध का क्या मतलब बेशक कोई और मिलता तो उसे तमगा और पाकिस्तान का निवास मिलते	(NAG,NGEN,NCOM)
facebook_corpus_msr_917624	"मोदी जी अब ऐसा भी कानुन कर सकते है,,कि गरीब और आम जनता वोट ही ना करे|
और वोट करना है तो मोदी को ही करे|नही तो आम लोगोको कान पकडनेको कह सकते है|
राशन भी बंद कर सकते है|अब सब सत्ता अकेले ही हाथमे है|
आम लोग कही ना कही परेशान होने चाहिए,भ्रमिष्ठ होने चाहिए,सोचनेकेलिए दिमाग ही बंद होना चाहिए!!!
एैसा ही कानुन बना सकते है|
जनता जाए भाडमे !ऐसी ही सोच है मोदीजी की!बस बाकी कुछ नही|"	(OAG,NGEN,NCOM)
facebook_corpus_msr_359283	जुबान दी थी तो जुबान की कीमत निभाई सर मुंडा के ये तो मेरे लिए गर्व की बात है।	(NAG,NGEN,NCOM)
facebook_corpus_msr_387241	Is gadhe ke gand main itna bambu dalo sala marhi jaye	(OAG,GEN,NCOM)
facebook_corpus_msr_365581	Karat has apn bhahin la experience hai. Bikul sahi send kar de hafiz la.	(OAG,GEN,NCOM)
facebook_corpus_msr_1480711	Ravish jii aap ke kasbe Mein sirf congressi rahte hai	(OAG,GEN,NCOM)
facebook_corpus_msr_1724154	Bole tw zeada kon log h India m deobndi or brelvi?	(NAG,NGEN,NCOM)
facebook_corpus_msr_407033	Iskee MA ki choot dalle ki bahan ka loda gandua Sala madarchod kutte ka beej	(OAG,GEN,NCOM)
facebook_corpus_msr_349738	To ab Kan khol ki sun lo Congresiyo ...56 '' ka Sena Modi Ji to bahut jald hi dekhane Wala hai par tum Congresiyo antakiyo ki marna par Rona, or inko bachane ki Liya rat ko supreme court Jana, sarjikal staik ka sabut mangna, or antkiyo ki Liya khulla supportr ban na or manisankar , degvijay or nirupam jaisa antaki supportro ka gala kab dabne ja raha ho pahala yeh desh ko batao....	(OAG,NGEN,COM)
facebook_corpus_msr_731304	cingress me sab chaplus hai	(CAG,GEN,NCOM)
facebook_corpus_msr_1724109	Yahn pakistan m babri masjid ko shaeed ni kya jata	(NAG,NGEN,NCOM)
facebook_corpus_msr_1493790	Ammi jaan ko bhej porki... Unko khushi ka hissa bna lenge.	(OAG,NGEN,NCOM)
facebook_corpus_msr_399529	"Hahahah
.bewkoof India mei ghus k maara aur WO bhi chupke ..haha.

Aur Kashmir p already India ka kabja a..mere stupid bhaia"	(NAG,GEN,NCOM)
facebook_corpus_msr_348789	"Jab iska do....... Ki

अल्लाह ताल्लाह के फजल से
पाकिस्तानी जेल में सज़ा काट रहे
आतंकी जकी-उर-रहमान-लखवी
की पत्नी पेट से है !😉

अल्लाह बडा हलालु है 😂"	(OAG,NGEN,NCOM)
facebook_corpus_msr_495661	Gold mila hota baki indians sab khane ke liye marte...😀	(OAG,NGEN,COM)
