ID	Text	Labels	words	sents	numbers	unknowns	punctuation	year	Gender
C101.145	BJP Ge Spokparson ngsu comments c yenggu BJP Yaba amta yaodre	(NAG,NGEN,NCOM)	11	1	0	0	0	0	NGEN
C12.99.1	Great bro !!!! Keep up the momentum	(NAG,NGEN,NCOM)	6	2	0	0	1	0	NGEN
C101.908	"CAB ki mtangda Khannaba yaodou saruk kei mamai nallubana fei khallmgani BJP gi
spoke person singse upai leitadana lakpa oirmni nungsihe"	(CAG,NGEN,NCOM)	21	1	0	0	0	0	NGEN
C115.173	"This is 21st century and any separatist demand in Country will not be
tolerated  
  
🇮🇳🇮🇳🇮🇳🇮🇳"	(OAG,NGEN,NCOM)	14	2	1	8	0	0	NGEN
C100.45	Good 👍👍👍	(NAG,NGEN,NCOM)	1	1	0	3	0	0	NGEN
C95.186	"Mr jalal se self interest oiba wa ngange magi organization na lead twraga
chtningbgi maong da ngangi amaromda oja Syed ki wakhllon, wangang yamna leibak
macha tai"	(NAG,NGEN,NCOM)	27	1	0	0	1	0	NGEN
C101.546	"Kadar tournu congress nahanei panlmdba waei Ama ngshidi paleida nagun khangi
congress ngshidi shana leipaka yamna panlkeida.."	(NAG,NGEN,NCOM)	17	2	0	0	2	0	NGEN
C10.94	Nungaina panba oibyo God bless you and your family forever	(NAG,NGEN,NCOM)	10	1	0	0	0	0	NGEN
C101.241	"Makhoi masel hunnabda asengba makhei loina haidorakle........ Congress su
pamjade BJP su okchare. Pelle2"	(NAG,NGEN,NCOM)	14	3	1	0	2	0	NGEN
C101.501	Sir bijoy se ym nungairiye	(NAG,NGEN,NCOM)	5	1	0	0	0	0	NGEN
C101.630	"Parliament ki Manipurgi MP singsu discussion da invite toubiyu henna
nungainaba"	(NAG,NGEN,NCOM)	11	1	0	0	0	0	NGEN
C101.205	"Hanuba noidi sikhranii chahee khara leibaga. CAB tuna chtnarkadii wahwdoije
youth eikhoinii. Hanuba noidi kem sokoi. Go back BJP."	(NAG,NGEN,NCOM)	19	4	0	0	4	0	NGEN
C115.53	CM ywrga amtng discussion twrdi nungaidwni	(NAG,NGEN,NCOM)	6	1	0	0	0	0	NGEN
C101.937	"Cab gi matangda ema eben echin enaosing na fangkhiba cheinado kaoba ngamlgdro
?"	(NAG,NGEN,NCOM)	12	1	0	0	1	0	NGEN
C115.105.1	Peter Singh LPM	(NAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C95.114	"Chaoba haigera tomba haigera Islam darma chtpa kanglup adubu muslim
kwee.pangal haigera meitei pangal haigera madu matm matmdugi panba angam
athwsingi achan mingwni hainingba hairabasu eigi darmadi Islam ni Muslim ni."	(CAG,NGEN,NCOM)	31	1	0	0	1	0	NGEN
C130.23	Basically why did she gave herself to this married man?	(CAG,GEN,NCOM)	10	1	0	0	1	0	GEN
C10.43.3	Hygy simply guy ngje gyn ym tai	(NAG,NGEN,NCOM)	7	1	0	0	0	0	NGEN
C105.14	God bless you sis😘	(NAG,NGEN,NCOM)	4	1	0	1	0	0	NGEN
C12.5	Ng sakthuni metei macha asangba oiramoi yanaraga pokpa macha oiramni ng	(OAG,NGEN,COM)	11	1	0	0	0	0	NGEN
